Evaluation mean precision: 0.0
Step 2 (340) @ Episode 1/5, action 0, reward -1,loss: 1.18029332161
Step 3 (341) @ Episode 1/5, action 0, reward -1,loss: 1.47158169746
Step 4 (342) @ Episode 1/5, action 6, reward 1,loss: 1.90208494663
Step 5 (343) @ Episode 1/5, action 0, reward -1,loss: 2.15442728996
Step 6 (344) @ Episode 1/5, action 9, reward -1,loss: 0.905129134655
Step 7 (345) @ Episode 1/5, action 5, reward -1,loss: 2.42655515671
Step 8 (346) @ Episode 1/5, action 2, reward 1,loss: 1.17039108276
Step 9 (347) @ Episode 1/5, action 6, reward -1,loss: 2.43825244904
Step 10 (348) @ Episode 1/5, action 5, reward -1,loss: 1.64639925957
Step 11 (349) @ Episode 1/5, action 6, reward -1,loss: 1.16430044174
Step 12 (350) @ Episode 1/5, action 9, reward -1,loss: 1.65941202641
Step 13 (351) @ Episode 1/5, action 6, reward -1,loss: 1.16819429398
