Wall time,Step,Value
1670988511.189341,55587,5.223337650299072
1670988513.827531,55630,3.8822271823883057
1670988520.267123,55719,4.5175275802612305
1670988555.200639,56292,5.465129375457764
1670988568.14726,56482,4.652541160583496
1670988599.221624,56933,3.9683263301849365
1670988629.101434,57413,3.980680227279663
1670988631.485931,57452,4.334375381469727
1670988663.236204,57945,4.4695353507995605
1670988677.957711,58171,5.327687740325928
1670988800.721927,58406,5.7356061935424805
1670988813.972018,58616,6.156759738922119
1670988820.653608,58731,4.439769744873047
1670988829.639804,58866,5.143856525421143
1670988842.204984,59058,4.697280406951904
1670988873.639577,59554,5.331364154815674
1670988902.289477,60002,5.606527805328369
1670988919.601178,60281,4.916109561920166
1670988929.539472,60432,4.507025718688965
1670988977.893268,61179,4.752943992614746
1670989012.79052,61726,4.966008186340332
1670989013.62681,61743,5.676904201507568
1670989114.920473,61905,5.04610013961792
1670989119.583957,61991,5.933788776397705
1670989124.043904,62053,5.584549903869629
1670989143.20445,62345,4.5731282234191895
1670989145.725491,62387,4.198045253753662
1670989172.268348,62821,4.688692569732666
1670989199.188566,63249,5.311697483062744
1670989218.872392,63569,6.177330017089844
1670989222.027049,63623,4.402383327484131
1670989240.372505,63906,4.555020332336426
1670989251.489976,64092,4.287130355834961
1670989304.07523,64895,5.611457347869873
1670989306.225835,64929,5.348740577697754
1670989419.045561,65418,4.372657775878906
1670989427.9682,65559,5.869553565979004
1670989439.040888,65723,5.492815971374512
1670989445.884215,65842,5.309431076049805
1670989447.631778,65859,4.056547164916992
1670989452.786122,65934,4.092487335205078
1670989453.919074,65957,4.86979341506958
1670989470.820691,66231,5.6399102210998535
1670989475.881292,66293,6.620973587036133
1670989500.940465,66653,4.910349369049072
1670989501.972835,66665,4.9370574951171875
1670989502.760582,66681,5.274655818939209
1670989506.790116,66743,6.596628665924072
1670989542.05629,67282,5.543697834014893
1670989555.825037,67512,4.359205722808838
1670989577.936216,67861,5.321990966796875
1670989580.252409,67899,6.879193305969238
1670989586.920353,67995,5.9535675048828125
1670989599.475189,68189,5.209620952606201
1670989701.59625,68457,5.397772312164307
1670989710.505984,68588,4.169302940368652
1670989712.089315,68620,4.341220855712891
1670989724.756127,68827,5.505209922790527
1670989752.579298,69235,4.02866268157959
1670989766.828599,69461,5.808706283569336
1670989771.216295,69530,6.002023696899414
1670989777.709896,69641,5.255319595336914
1670989813.30544,70196,4.93846321105957
1670989823.364188,70361,6.259695053100586
1670989838.02919,70589,5.574873924255371
1670989856.136714,70876,5.189195156097412
1670989869.237843,71082,4.608888626098633
1670989874.062896,71160,5.293604850769043
1670989877.357008,71207,4.619719505310059
1670989887.54672,71357,4.35042142868042
1670990017.932539,71834,6.4318623542785645
1670990046.988573,72290,5.1480937004089355
1670990068.071871,72621,5.224667072296143
1670990106.421561,73205,5.126083850860596
1670990108.867417,73243,4.478974342346191
1670990123.301297,73454,6.233742713928223
1670990130.540897,73566,4.590884208679199
1670990153.724731,73916,5.060628890991211
1670990154.070796,73923,5.4461283683776855
1670990192.278336,74483,4.884615898132324
1670990212.368446,74757,4.496889591217041
1670990346.877849,75098,4.692146301269531
1670990347.549584,75111,5.240878582000732
1670990350.383788,75147,4.493137836456299
1670990353.875009,75206,6.173837661743164
1670990368.854778,75443,4.6362786293029785
1670990372.716968,75498,5.570552825927734
1670990377.299494,75566,6.69573450088501
1670990438.607938,76488,5.910552978515625
1670990471.639858,77013,4.248749732971191
1670990510.808322,77610,4.590603351593018
1670990533.522618,77951,4.746265411376953
1670990543.429618,78090,5.354567050933838
1670990659.330837,78276,4.861696243286133
1670990668.892965,78424,4.530528545379639
1670990682.059929,78639,5.581310272216797
1670990714.962056,79149,5.361100673675537
1670990716.949333,79179,6.118529796600342
1670990720.535353,79231,5.2226738929748535
1670990742.99333,79578,5.799897193908691
1670990761.143924,79866,4.542052745819092
1670990799.71274,80474,6.312525272369385
1670990801.205778,80494,5.356644630432129
1670990872.31482,81616,4.950803756713867
1670990989.85151,81722,5.158045291900635
1670991036.923206,82483,5.3779449462890625
1670991082.504944,83177,6.334597587585449
1670991111.81422,83650,5.524847030639648
1670991121.077582,83796,5.126548767089844
1670991127.954703,83905,6.282790660858154
1670991164.856705,84461,4.975943565368652
1670991187.227529,84823,5.129698753356934
1670991189.508677,84859,5.509134292602539
1670991337.31513,85449,5.589280128479004
1670991352.401059,85685,7.128791809082031
1670991360.868216,85795,4.7222418785095215
1670991386.408732,86223,7.276078224182129
1670991397.191206,86403,5.509493827819824
1670991398.577943,86422,5.328754901885986
1670991419.024189,86717,6.250964641571045
1670991429.153523,86895,5.060910224914551
1670991432.312935,86940,5.374682903289795
1670991447.671476,87171,8.074407577514648
1670991480.980759,87689,5.206254959106445
1670991487.60628,87794,5.4965996742248535
1670991487.655981,87795,5.456769943237305
1670991506.743439,88098,5.782843589782715
1670991515.474417,88225,5.417736053466797
1670991668.078915,88833,4.9590277671813965
1670991707.486028,89447,5.779710292816162
1670991728.511882,89754,4.869734764099121
1670991748.21386,90045,6.008328437805176
1670991753.959579,90142,4.491476535797119
1670991783.580535,90585,6.0505452156066895
1670991797.526472,90807,6.471249103546143
1670991803.575985,90901,5.864518165588379
1670991814.292639,91081,6.047939300537109
1670991841.230221,91507,6.345694065093994
1670991968.522381,91738,6.617805004119873
